"One Step Checkout","One Step Checkout"
"Heading","Heading"
"Title","Title"
"Address Fields","Address Fields"
"Shipping Methods","Shipping Methods"
"Payment Methods","Payment Methods"
"Fast Page Load","Fast Page Load"
"Move checkout to cart page","Move checkout to cart page"
"Merge shopping cart with order review","Merge shopping cart with order review"
"Payment Method","Payment Method"
"Discount Codes","Discount Codes"
"Gift Card","Gift Card"
"Amasty Gift Card","Amasty Gift Card"
"API key","API key"
"Theme Color","Theme Color"
"Text Color","Text Color"
"Button Color","Button Color"
"Font Family","Font Family"
"Show Thumbnail On Review","Show Thumbnail On Review"
"Show Newsletter Subscription","Show Newsletter Subscription"
"Thumbnail Size","Thumbnail Size"
"Shipping method must be specified","Shipping method must be specified"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Coupon code was canceled.","Coupon code was canceled."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Wrong gift card code.","Wrong gift card code."
"Gift Card ""%s"" was added.","Gift Card ""%s"" was added."
"Cannot apply gift card.","Cannot apply gift card."
"Gift Card ""%s"" was removed.","Gift Card ""%s"" was removed."
"Cannot remove gift card.","Cannot remove gift card."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Please provide the password to automatically create an account and register the order to this account","Please provide the password to automatically create an account and register the order to this account"
"The fields has been saved.","The fields has been saved."
"Invalid data.","Invalid data."
"Please specify different value for ""%s"" attribute. Customer with such value already exists.","Please specify different value for ""%s"" attribute. Customer with such value already exists."
"Customer Address is not valid.","Customer Address is not valid."
"Address","Address"
"City","City"
"State/Province","State/Province"
"Please enter valid Email.","Please enter valid Email."
"Billing","Billing"
"Manage Single Step Checkout","Manage Single Step Checkout"
"Single Step Checkout Configuration","Single Step Checkout Configuration"
"Labels and Layout","Labels and Layout"
"Fields","Fields"
"Geo IP","Geo IP"
"Geo IP Settings","Geo IP Settings"
"Use Geo IP","Use Geo IP"
"Process...","Process..."
"Required files:","Required files:"
"Fields Configuration","Fields Configuration"
"Areas Configuration","Areas Configuration"
"The minimum password length is","The minimum password length is"
"Checkout as guest","Checkout as guest"
"Log in to your account","Log in to your account"
"To checkout as a guest add your email below","To checkout as a guest add your email below"
"Log in to your account by adding your details below","Log in to your account by adding your details below"
"To register an account simply add a password","To register an account simply add a password"
"Forgot Your Password?","Forgot Your Password?"
"Gift Card (%s)","Gift Card (%s)"
"Custom Fields","Custom Fields"
"Gender","Gender"
"Qty","Qty"
"Move to Wishlist","Move to Wishlist"
"Continue Shopping","Continue Shopping"
"Update Shopping Cart","Update Shopping Cart"
"Clear Shopping Cart","Clear Shopping Cart"
"Total incl. tax","Total incl. tax"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Submitting order information...","Submitting order information..."
"Email Address","Email Address"
"Log in","Log in"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Place Order","Place Order"
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Please select region, state or province","Please select region, state or province"
"Select State/Province...","Select State/Province..."
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Enter the gift card code","Enter the gift card code"
"Check Gift Card status and balance","Check Gift Card status and balance"
"Apply","Apply"
"Edit item parameters","Edit item parameters"
"Move to wishlist","Move to wishlist"
"Remove Item","Remove Item"
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"What&#39;s this?","What&#39;s this?"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Specify checkout block names and choose layout","Specify checkout block names and choose layout"
"Label","Label"
"Placement","Placement"
"You have an account created in this store. Please provide the password and you will be logged in automatically. If you forgot password use <a href=""%s""><span>this link</span></a>.","You have an account created in this store. Please provide the password and you will be logged in automatically. If you forgot password use <a href=""%s""><span>this link</span></a>."
