"Installments","Parcelas"
"Installments number should be greater than zero","O número de parcelas deve ser maior que zero"
"Installments number should be lower than Pagar.Me limit","O número de parcelas deve ser menor que o limite Pagar.me"
"Installments number should not be greater than %d","O número de parcelas deve menor que %d"
"Installments is Diverging","Valor de parcelas divergente"
"Installments related Interest","Juros do parcelamento"
"Undefined Billing address: %s","Endereço de cobrança não informado"
"Pagar.me Credit card","Cartão de crédito Pagar.me"
"Credit Card","Cartão de Crédito"
"Credit Card Owner","Portador do Cartão"
"Name in credit card","Nome do portador"
"Credit Card Expiration Date","Data de Expiração"
"Credit Card Verification Number","Código de Verificação"
"Credit Card Number","Número do Cartão"
"Customer name","Nome do comprador"
"Card brand","Bandeira do cartão",
"Processing on Gateway. Waiting response","Em processamento no gateway. Aguardando resposta"
"Transacion waiting review on Pagar.me's Dashboard","Transação Aguardando revisão na Dashboard Pagar.me"
"Transaction refused by acquirer. Unauthorized","Transação recusada pela adquirente. Não autorizada"
"Transaction refused by gateway. Suspected fraud","Transação recusada pelo Gateway. Suspeita de fraude"
"Authorized amount of %s","Valor autorizado: %s"
"Captured amount of %s","Valor capturado: %s"
"Payment refused.","Pagamento recusado."
"Please, contact your bank for more informations.","Por favor, contate seu banco para mais informações."
"Please, contact us for more informations.","Por favor, contate-nos para mais informações."
"Card holder name","Nome do portador do cartão"
"Please, select the number of installments","Por favor, selecione o número de parcelas."
"Please, enter a valid credit card number.","Por favor, digite um número de cartão de crédito válido."
"Please, enter a valid name.","Por favor, digite um nome válido."
"Please, enter a valid expiration date. For example 12 / 25.","Por favor, digite uma data de expiração válida. Por exemplo 12 / 25."
"Please, enter a valid credit card verification number.","Por favor, digite um código de verificação válido."
"Please, select the number of installments.","Por favor, selecione o número de parcelas."
