"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","banner","photo_side_one","photo_side_two","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","mgs_brand","mgs_lookbook","sabor","volume_comprimento","volume_altura","volume_largura","description","short_description","meta_keyword","custom_layout_update","aht_deal_qty","desc_second","nutritional_info","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled","fit_size","posting_days","frete_gratis","postmethods","recurring_profile"
"admin","base","Default","configurable","","AMINO LAST EVO","1","AMINO LAST EVO","AMINO LAST EVO","","/a/m/amino_last_evo_fruit_salad_420g_frente_1.png","/a/m/amino_last_evo_fruit_salad_420g_frente_1.png","/a/m/amino_last_evo_fruit_salad_420g_frente_1.png","amino-last-evo","amino-last-evo.html","","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","/p/r/produtobannersprancheta-2.png","/a/t/attractive-male-torso-in-gym-j2bukzy.jpg","/a/t/attractive-young-athlete-with-muscular-body-jy7udq8.jpg","159.9000","","0.4200","159.9000","Desabilitado","Não","Catálogo, Busca","Nenhum","","","","0","0","0","<h5>AMINO LAST EVO</h5>
<P>AMINO LAST EVO, foi criado um blend de aminoácidos com excelente sabor e composição inovadora, utilizando os melhores ingredientes possíveis, sem corantes sintéticos adicionados com a proposta de lhe garantir uma melhor recuperação, aumento de massa muscular e maior resistência física. Quando você treina no limite, seus músculos pagam um preço. AMINOLAST contém a tecnologia AMINOJET com altas doses de BCAA, peptídeos, leucina e eletrólitos que ajudam os músculos a se livrarem de resíduos que podem causar fadiga. Você só precisa de uma dose por treino, não mega doses, pois AMINO LAST EVO é eficiente. Com apenas uma dose, você sentirá a diferença e perceberá a superioridade de AMINO LAST EVO.</P><br>


<h5>NÃO CONTÉM</h5>
<p>Açúcar, adoçantes, conservantes, corantes, glúten, lactose, substâncias proibidas, como esteróides e estimulantes.</p>","AMINO LAST EVO, foi criado um blend de aminoácidos com excelente sabor e composição inovadora, utilizando os melhores ingredientes possíveis, sem corantes sintéticos adicionados com a proposta de lhe garantir uma melhor recuperação,","","","","<h5>POR QUE COMPRAR?</h5>
</ul>
  <li style=""list-style-type: square;"">Alta dose de BCAA por porção</li>
  <li style=""list-style-type: square;"">Recuperação muscular e resistência</li>
  <li style=""list-style-type: square;"">Reduz as dores dos treinos intensos</li>
  <li style=""list-style-type: square;"">10g de aminoácidos</li>
  <li style=""list-style-type: square;"">Eletrólitos anti-cãibras</li>
</ul>","<h4>Tabela Nutricional</h4>
<p>Rendimento 30 doses<p>
<div class=""table-responsive"">
  <table class=""table"">
    <thead>
      <tr>
        <th colspan=""2"">Quantidade por porção<br>(Porção de 14g - 1 scoop)</th>
        <th>%VD (*)</th>
      </tr>
    </thead>
    <tbody>
      <tr>
        <td>VALOR ENERGÉTICO</td>
        <td>40Kcal=153KJ</td>
        <td>2%</td>
      </tr>
      <tr>
        <td>PROTEÍNA</td>
        <td>2 g</td>
        <td>3%</td>
      </tr>
      <tr>
        <td>CARBOIDRATO</td>
        <td>0 g</td>
        <td>0%</td>
      </tr>
      <tr>
        <td>GORDURAS TOTAIS</td>
        <td>0 g</td>
        <td>0%</td>
      </tr>
      <tr>
        <td>SÓDIO</td>
        <td>30 mg</td>
        <td>1%</td>
      </tr>
       <tr>
        <td>VITAMINA B6</td>
        <td>1,3 mg</td>
        <td>100%</td>
      </tr> 
      <tr>
        <td colspan=""3""><b>LAST AMINO MATRIX</b></td>
      </tr>
      <tr>
        <td>L-Leucina</td>
        <td>2500 mg</td>
        <td>**</td>
      </tr> 
      <tr>
        <td>L-Isoleucina</td>
        <td>1250 mg</td>
        <td>**</td>
      </tr> 
      <tr>
        <td>L-Valina</td>
        <td>1250 mg</td>
        <td>**</td>
      </tr> 
      <tr>
        <td>L-Taurina</td>
        <td>2000 mg</td>
        <td>**</td>
      </tr> 
    </tbody>
  </table>

  <ul class=""list-group"">
    <li>Não contém quantidades significativas de fibra alimentar e gorduras saturadas.</li>
    <li>* Valores diário de referência com base em uma dieta de 2000kcal ou 8400KJ</li>
    <li>** Recomendação diária de consumo indicado para maiores de 18 anos.</li>
    <li><em>ALERGÊNICOS: CONTÉM DERIVADOS DO LEITE</em></li>
    <li><em>NÃO CONTÉM GLÚTEN</em></li>
  </ul>
</div>
<h4>Ingredientes</h4>
<p>L-Leucina, L-Taurina, L-Valina, L-Isoleucina, Proteína Hidrolisada do Soro do Leite, Vitamina B6, Acidulante Ácido Cítrico, Aromatizante Idêntico ao Natural, Corante Artificial Amarelo crepúsculo (Fruit Salad) ou Vermelho 40 (Mix Berry) e Educorante Sucralose.</p>
<br>
<h4>Como Utilizar</h4>
<p>Misture uma colher rasa (14g) com 240ml a 300ml de água. Pode ser consumido antes do treino, entre refeições, durante e após o treino para aumentar o consumo de aminoácidos.</p>
<br>
<h4>Armazenamento</h4>
<p>Conservar este produto bem fechado, ao abrigo de luz e calor, em local seco e fresco, livres de odores e em sua embalagem original. Consumir em até 90 dias após aberta a embalagem.</p>
<br>
<p><em>ADVERTÊNCIA: ESTE PRODUTO NÃO É UM MEDICAMENTO. NÃO EXCEDER A RECOMENDAÇÃO DIÁRIA DE CONSUMO INDICADA NA EMBALAGEM MANTENHA FORA DO ALCANCE DE CRIANÇAS. ESTE PRODUTO NÃO DEVE SER CONSUMiDO POR GESTANTES, LACTANTES E CRIANÇAS.</em></p>","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","1","1","0","1","0.0000","1","0","0","0","1","AMINO LAST EVO","0","configurable","","","","","","","","","","","",""
"admin","","","","","AMINO LAST EVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/m/amino_last_evo_fruit_salad_420g_verso_1.png","","2","0","","","","",""
"admin","","","","","AMINO LAST EVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/m/amino_last_evo_mix_berry_420g_frente.png","","3","0","","","","",""
"admin","","","","","AMINO LAST EVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/m/amino_last_evo_mix_berry_420g_verso.png","","4","0","","","","",""
"admin","base","Default","simple","5,15","344239166","0","BCAA Easy 500mg 120 Cap. - Aminoácido Ramificado EVO","BCAA Easy 500mg 120 Cap. - Aminoácido Ramificado EVO","BCAA é um aminoácido ramificado, utilizado por praticantes de musculação. Nele tem leucina, valina e isoleucina. Em conjunto, estes três aminoácidos formam cerca de 1/3 das proteínas musculares essenciais para o crescimento e desenvolvimento muscular.","/1/2/12.png","/1/2/12.png","/1/2/12.png","bcaa-aminoacido-500-evo","bcaa-aminoacido-500-evo.html","","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","/p/r/produtobannersprancheta-3.png","/b/a/back-view-of-a-sportsman-doing-speed-exercise-for-pvl7zla_1.jpg","","59.9000","","0.6000","59.9000","Habilitado","Não","Catálogo, Busca","Nenhum","","","","10","20","10","<h4> BCAA 500 EVO</h4>
<P>Trata-se de um suplemento de aminoácidos ramificados (BCAAs) elaborado a partir de fontes da mais alta qualidade, e encapsulado mediante extensivos processos de qualidade para assegurar o máximo frescor do produto. 100% Crystalline BCAA é um suplemento destinado a obter uma ótima recuperação ao terminar um treino. Com este cenário, ao terminar a nossa sessão desportiva, o corpo encontra-se num estado de máximo aproveitamento e administração de elementos essenciais que permitam iniciar os processos de recuperação e regeneração de tecidos. Entre estes elementos, os que mais destacam pela sua estrutura, rápida assimilação e vantagens para o desportista são os BCAAs.</P><br>
<p>Não contém açúcar, adoçantes, conservantes, corantes, glúten, lactose, substâncias proibidas, como esteroides e estimulantes.</p>","Trata-se de um suplemento de aminoácidos ramificados (BCAAs) elaborado a partir de fontes da mais alta qualidade, e encapsulado mediante extensivos processos de qualidade.

<h5>Quantidade: 120 cápsulas </h5>","BCAA Easy 500mg 120 Cap. - Aminoácido Ramificado EVO","","","<h5>POR QUE COMPRAR?</h5>
<ul>
  <li style=""list-style-type: square;"">500mg de BCAA por cápsula;</li>
  <li style=""list-style-type: square;"">Aumento da síntese de proteína;</li>
  <li style=""list-style-type: square;"">Redução do catabolismo (quebra de proteína);</li>
  <li style=""list-style-type: square;"">Recuperação e crescimento muscular.</li>
  <li style=""list-style-type: square;"">Resistência física.</li>
  <li style=""list-style-type: square;"">Fonte de energia.</li><br>

  <h4>Os BCAAs são compostos por três aminoácidos essenciais:</h4>
  <br>
  <li style=""list-style-type: square;"">Valina.</li>
  <li style=""list-style-type: square;"">Leucina.</li>
   <li style=""list-style-type: square;"">Isoleucina.</li>
</ul>
","<h4>Tabela Nutricional</h4>
<p>Porção: 4 cápsulas de 500mg cada </p>
<div class=""table-responsive"">
  <table class=""table"">
    <thead>
      <tr>
        <th colspan=""2"">Qtdade por porção <br></th>
        <th>%VD (*)</th>
      </tr>
    </thead>
    <tbody>
      <tr>
        <td>VALOR ENERGÉTICO</td>
        <td>12,8 Kcal = 53,8 KJ</td>
        <td>1%</td>
      </tr>
      <tr>
        <td>Proteínas</td>
        <td>2,0g</td>
        <td>5%</td>
      </tr>
      <tr>
        <td>L-Valina</td>
        <td>620mg</td>
        <td>*</td>
      </tr>
      <tr>
        <td>L-Leucina</td>
        <td>755mg</td>
        <td>-</td>
      </tr>
      <tr>
        <td>L-Isoleucina</td>
        <td>620mg</td>
        <td>*</td>
      </tr>
      <tr>
        <td>Vitamina B6</td>
        <td>1,3mg</td>
        <td>100</td>
      </tr>
      <tr>
        <td>ZN</td>
        <td>-</td>
        <td>-</td>
      </tr>
    </tbody>
  </table>
  <ul class=""list-group"">
    <li>* Valores diários de referência com base em uma dieta de 2000kcal ou 8400KJ.</li>
    <li>Seus valores diários podem ser maiores ou menores dependendo de suas necessidades energéticas.  (**) Valor diário não estabelecido.</li>
  </ul>
</div>
<h4>Ingredientes</h4>
<p> L-Leucina, L-Valina, L-Isoleucina e Vitamina B6.</p>
<br>
<h4>Como Utilizar</h4>
<p>Até 70kg, tomar 3 (três) cápsulas ao dia. De 70kg a 90kg, tomar 4 cápsulas ao dia. Mais de 90kg, tomar 5 cápsulas ao dia.
</p>
<br>
<h4>Armazenamento</h4>
<p>Conservar este produto bem fechado, ao abrigo de luz e calor, em local seco e fresco, livres de odores e em sua embalagem original. Consumir em até 90 dias após aberta a embalagem.
</p>
<br>
<p><em>ADVERTÊNCIA: ESTE PRODUTO NÃO É UM MEDICAMENTO. NÃO EXCEDER A RECOMENDAÇÃO DIÁRIA DE CONSUMO INDICADA NA EMBALAGEM MANTENHA FORA DO ALCANCE DE CRIANÇAS. ESTE PRODUTO NÃO DEVE SER CONSUMiDO POR GESTANTES, LACTANTES E CRIANÇAS.</em></p>

","","","","","","","142.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","1","BCAA Easy 500mg 120 Cap. - Aminoácido Ramificado EVO","0","simple","","","","","","","","","","Não","",""
"admin","","","","","344239166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/c/bcaa_500_evo_120caps_verso.png","","2","0","","","","",""
"admin","base","Default","simple","5,15","344239392","0","BCAA 1500mg 120 Tab. - Aminoácido Ramificado EVO","BCAA 1500mg 120 Tab. - Aminoácido Ramificado EVO","BCAA é um aminoácido ramificado, utilizado por praticantes de musculação. Nele tem leucina, valina e isoleucina. Em conjunto, estes três aminoácidos formam cerca de 1/3 das proteínas musculares essenciais para o crescimento e desenvolvimento muscular.","/b/c/bcaa_1500.jpg","/b/c/bcaa_1500.jpg","/b/c/bcaa_1500.jpg","bcaa-aminoacido-ramificado-1500-evo","bcaa-aminoacido-ramificado-1500-evo.html","","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","/p/r/produtobannersprancheta-4_1.png","/b/a/back-man-runner-lba2rde_3.jpg","","89.9000","","0.0600","89.9000","Habilitado","Não","Catálogo, Busca","Nenhum","","","","10","20","10","<h4>BCAA 1.500 EVO</h4>
<p>Suplemento que combina os aminoácidos essenciais BCAA com a vitamina B6 em sua forma ativa. Sua formulação foi desenvolvida respeitando a proporção de 8:1:1, ou seja, 8 partes de l-leucina a cada 1 parte de l-isoleucina e l-valina. A l-Leucina é o aminoácido mais importante na musculatura e a vitamina B6 participa de diversas funções enzimáticas. Com tecnologia japonesa Ajinomoto, contém aminoácidos 100% puros de origem vegetal com certificação NON-GMO, vitamina B6 ativa e alta concentração de l-Leucina.</p>
<br>
<h5>NÃO CONTÉM</h5>
<p>Adoçantes artificiais, corante artificial, açúcar, glúten, lactose, conservantes.</p>","Suplemento que combina os aminoácidos essenciais BCAA com a vitamina B6 em sua forma ativa.

<h5>Quantidade: 120 cápsulas </h5>","BCAA 1500mg 120 Tab. - Aminoácido Ramificado EVO","","","<h4>AMINOÁCIDOS</h4>
<br>
<h6>Entenda os aminoácidos</h6>
<p>Considerados como a base da vida, os aminoácidos agrupam-se em peptídeos que por sua vez, quando aglomerados, formam as proteínas. Em uma comparação simples, aminoácidos são “tijolos” que formam as proteínas e que constituem as mais diversas estruturas do nosso corpo. BCAA  é uma abreviação de Branched-Chain Amino Acids, ou Aminoácidos de Cadeia Ramificada. </p>
<h4>TIPOS DE AMINOÁCIDOS RESPONSÁVEIS PELA FORMAÇÃO DAS PROTEÍNAS</h4>
<br>
<h6>Essenciais</h6>
<p>Não produzimos e precisamos adquiri-los através da dieta.</p>
<p>Isoleucina, leucina, lisina, metionina, fenilalanina, treonina, triptofano, valina e, para crianças, histidina. </p>
<h6>Não Essenciais</h6>
<p>Produzidos pelo corpo, Alanina, ácido aspártico, ácido glutâmico, arginina, asparagina, glutamina, glicina, prolina, serina, cisteína e tirosina. </p>
","<h4>Tabela Nutricional</h4>
<p>Porção Diária de 6,0 g ( 3 tabletes ) </p>
<div class=""table-responsive"">
  <table class=""table"">
    <thead>
      <tr>
        <th colspan=""2"">Qtdade por porção <br></th>
        <th>%VD (*)</th>
      </tr>
    </thead>
    <tbody>
      <tr>
        <td>VALOR ENERGÉTICO</td>
        <td>18 Kcal = 75 KJ</td>
        <td>1%</td>
      </tr>
      <tr>
        <td>Proteínas</td>
        <td>4,5 mg</td>
        <td>6%</td>
      </tr>
      <tr>
        <td>L-Valina</td>
        <td>1125 mg</td>
        <td>*</td>
      </tr>
      <tr>
        <td>L-Leucina</td>
        <td>2250 mg</td>
        <td>*</td>
      </tr>
      <tr>
        <td>L-Isoleucina</td>
        <td>1125 mg</td>
        <td>*</td>
      </tr>
      <tr>
        <td>Carboidratos</td>
        <td>0 g</td>
        <td>0</td>
      </tr>
      <tr>
        <td>Gorduras totais</td>
        <td>0 g</td>
        <td>0</td>
      </tr>
      <tr>
        <td>Gorduras Saturadas</td>
        <td>0 g</td>
        <td>0</td>
      </tr>
      <tr>
        <td>Gorduras Trans</td>
        <td>0 g</td>
        <td>**</td>
      </tr>
      <tr>
        <td>Fibras Alimentares</td>
        <td>0 g</td>
        <td>0</td>
      </tr>
      <tr>
        <td>Sódio</td>
        <td>0 mg</td>
        <td>0</td>
      </tr>
    </tbody>
  </table>
  <ul class=""list-group"">
    <li>* Valores diários de referência com base em uma dieta de 2000kcal ou 8400KJ,</li>
    <li>Seus valores diários podem ser maiores ou menores dependendo de suas necessidades energéticas.  (**) Valor diário não estabelecido.</li>
  </ul>
</div>
<h4>Ingredientes</h4>
<p>L-Leucina, L-Valina, L-isoleucine, carbonato de cálcio (excipiente), óxido de magnésio (excipiente), estearato de magnésio (excipiente, corante inorgânico dióxido de titânio, corante artificial.</p>
<br>
<h4>Como Utilizar</h4>
<p>Ingerir 3 tabletes ao dia, sendo 1 antes e 2 após a atividade física ou conforme orientação profissional.</p>
<br>
<h4>Armazenamento</h4>
<p>Conservar este produto bem fechado, ao abrigo de luz e calor, em local seco e fresco, livres de odores e em sua embalagem original. Consumir em até 90 dias após aberta a embalagem.</p>
<br>
<p><em>ADVERTÊNCIA: ESTE PRODUTO NÃO É UM MEDICAMENTO. NÃO EXCEDER A RECOMENDAÇÃO DIÁRIA DE CONSUMO INDICADA NA EMBALAGEM MANTENHA FORA DO ALCANCE DE CRIANÇAS. ESTE PRODUTO NÃO DEVE SER CONSUMiDO POR GESTANTES, LACTANTES E CRIANÇAS.</em></p>","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2019-07-12 15:46:00","","1","1","1","1","1","0.0000","1","0","0","1","1","BCAA 1500mg 120 Tab. - Aminoácido Ramificado EVO","0","simple","","","","","","","","","","Não","",""
"admin","","","","","344239392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/c/bcaa_1.500_evo_120caps_verso.png","","2","0","","","","",""
"admin","","","","","344239392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/c/bcaa_1.500_2019.jpg","","3","0","","","","",""
"admin","","","","","344239392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/c/bcaa_1.500_evo_120caps_frente.png","","4","1","","","","",""
